City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,cap malheureux,-19.9842,57.6142,26.37,83,100,8.02,MU,1678033370
244,queanbeyan,-35.35,149.2333,17.95,97,100,4.63,AU,1678033370
245,essau,13.4839,-16.5347,32.09,50,23,6.19,GM,1678033371
246,belaya gora,68.5333,146.4167,-40.69,100,95,0.79,RU,1678033371
247,gladstone,-23.85,151.25,21.96,73,1,1.54,AU,1678033371
248,srivardhan,18.0333,73.0167,27.04,57,13,1.89,IN,1678033371
249,bathsheba,13.2167,-59.5167,30.34,54,75,9.77,BB,1678033371
250,port hardy,50.6996,-127.4199,5.0,81,75,2.06,CA,1678033371
251,kirakira,-10.4544,161.9205,25.87,84,96,3.37,SB,1678033371
252,the valley,18.217,-63.0578,28.92,65,20,5.66,AI,1678033371
253,namibe,-15.1961,12.1522,24.07,61,0,5.02,AO,1678033372
254,saldanha,-33.0117,17.9442,19.56,82,15,3.88,ZA,1678033372
255,inta,66.0317,60.1659,-22.45,98,88,1.5,RU,1678033372
256,yashkino,55.8736,85.4265,-6.64,94,100,1.93,RU,1678033372
257,develi,38.3906,35.4922,12.64,52,100,5.86,TR,1678033372
258,parys,48.8534,2.3488,7.43,68,100,1.54,FR,1678033209
259,tutoia,-2.7619,-42.2744,28.33,75,77,5.7,BR,1678033372
260,sohbatpur,28.5202,68.5434,24.86,27,2,1.62,PK,1678033372
261,auki,-8.7676,160.7034,25.47,86,96,3.14,SB,1678033372
262,agucadoura,41.4318,-8.7804,11.31,84,99,2.49,PT,1678033373
263,clyde river,70.4692,-68.5914,-13.87,85,100,6.69,CA,1678033373
264,bandarbeyla,9.4942,50.8122,25.41,74,0,6.31,SO,1678033373
265,kruisfontein,-34.0033,24.7314,21.05,95,98,6.5,ZA,1678033373
266,pouembout,-21.1333,164.9,24.17,88,63,2.37,NC,1678033373
267,parral,26.9333,-105.6667,16.91,11,0,1.14,MX,1678033373
268,pacifica,37.6138,-122.4869,9.21,77,20,7.2,US,1678033373
269,chornukhy,50.2673,32.942,0.27,57,60,3.04,UA,1678033373
270,adrar,20.5022,-10.0711,32.04,9,0,3.19,MR,1678033373
271,oeiras,-7.0253,-42.1311,37.83,28,31,2.24,BR,1678033374
272,port hedland,-20.3167,118.5667,30.03,79,4,4.63,AU,1678033374
273,kutum,14.2,24.6667,27.97,8,0,4.46,SD,1678033374
274,hokitika,-42.7167,170.9667,10.76,73,0,2.58,NZ,1678033374
275,kahului,20.8947,-156.47,20.47,94,22,1.34,US,1678033374
276,dubbo,-32.25,148.6167,24.07,53,59,4.63,AU,1678033374
277,bat khela,34.6167,71.9714,16.87,44,0,2.48,PK,1678033375
278,sinnamary,5.3833,-52.95,26.58,83,100,6.17,GF,1678033375
279,ust-tsilma,65.441,52.1498,-19.76,100,80,1.17,RU,1678033375
280,bulgan,48.8125,103.5347,-2.97,57,68,0.56,MN,1678033375
